id,name,country,state,city,location,zip_code,website,phone,status,approved_by,user_id,logo_url
27,AB & I Foundry,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
28,ABA Staffing Inc,United States,California,San Francisco,33 New Montgomery Street Suite 800,94105,www.abastaff.com,4154344222,approved,admin-krupa,admin-krupa,NULL
29,Abacus Software Group Inc,United States,Massachusetts,Burlington,121 Middlesex Turnpike Suite 201,1803,www.abacussoftware.com,NULL,approved,admin-krupa,admin-krupa,NULL
30,Abacus Technology Corporation,United States,Maryland,Chevy Chase,5454 Wisconsin Avenue,20815,www.abacustech.com,NULL,approved,admin-krupa,admin-krupa,NULL
31,Abaqus Inc,United States,Rhode Island,Providence,Rising Sun Mills 166 Valley Street,2909,www.abaqus.com,4012764400,approved,admin-krupa,admin-krupa,NULL
32,ABBOTT Bioresearch Center,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
33,Abbott Laboratories,United States,Illinois,Lincolnton ,100 Abbott Park Road,60064,www.abbott.com,8479376100,approved,admin-krupa,admin-krupa,Abbott Laboratories.png
34,ABC News,United States,New York,New York, 7 West 66th Street,10023,www.abcnews.com,NULL,approved,admin-krupa,admin-krupa,NULL
35,De La Rue CPS,United States,Texas,Addison ,6401 Commerce Drive,75063,www.delarue.com,9725821100,approved,admin-krupa,admin-krupa,NULL
36,Abercrombie &  Fitch,United States,Ohio,New Albany,6301 Fitch Path,43054,www.abercrombie.com,NULL,approved,admin-krupa,admin-krupa,Abercrombie & Fitch.png
37,Abetta Care,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
38,Abetta Tech,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
39,Abu Dhabi Investment Authority,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
40,Acadia Corporation,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
41,ACC Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
42,Accelio Corporation,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
43,Accent Optical Technologies,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
44,Accentcare,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
45,Accenture Ltd,United States,New York,New York,1345 Avenue of the Americas,10105,www.accenture.com,NULL,approved,admin-krupa,admin-krupa,Accenture Ltd.png
46,Accenture Technology Solutions,United States,Pennsylvania,Collegeville,NULL,NULL,www.accenture.com,NULL,approved,admin-krupa,admin-krupa,Accenture Ltd.png
47,Acclaim Entertainment,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
48,ACS International Resources Inc,United States,Delaware,Newark ,Delaware Technology Park,19711,www.acs-intl.com,888ACSINTL,approved,admin-krupa,admin-krupa,NULL
49,Acco Engineered Systems,United States,California,Glendale,6265 San Fernando Road,91201,www.accoair.com,NULL,approved,admin-krupa,admin-krupa,Acco Engineered Systems.png
50,Accor North America,United States,Texas,Carrollton ,4001 International Parkway,75007,www.accor-na.com,NULL,approved,admin-krupa,admin-krupa,NULL
51,Accord Corporation,United States,New York,Watertown,84 Schuyler Street,14813,www.accordcorp.org,5852687605,approved,admin-krupa,admin-krupa,NULL
52,Accountants Plus,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
53,Accountants USA,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
54,Accountants World LLC,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
55,Accountdata Staffing Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
56,Accountemps,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
57,Accounting Advantage,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
58,Accounting Career Consultants,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
59,Accounting Management Solutions LLP,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
60,Accounting Now,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
61,Accounting Perspectives,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
62,Accounting Principals,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
63,Accounting Solutions,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
64,Accountpros,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
65,Accountsource Financial Staffing,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
66,Accredited Home Lenders,United States,California,San Diego,17089 Via Del Campo Bldg 3 #200,92127,www.accredhome.com,NULL,approved,admin-krupa,admin-krupa,NULL
67,Accretive Solutions,United States,New York,Melville,105 Maxess Road Suite 107,11747,www.accretivesolutions.com,6313489100,approved,admin-krupa,admin-krupa,NULL
68,CoreLink Staffing Services,United States,California,Irvine,19600 Fairchild Road,92612,www.acctglinkstaffing.com,9497522938,approved,admin-krupa,admin-krupa,NULL
69,Accuquote,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
70,Accurate Recruiting,United States,Illinois,Chicago ,125 S Wacker Dr,60606,www.accrec.com,3123572500,approved,admin-krupa,admin-krupa,NULL
71,Accurate Recruitment Solutions,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
72,Accuride Corporation,United States,Indiana,Evansville,7140 Office Circle,47716,www.accuridecorp.com,8129625000,approved,admin-krupa,admin-krupa,NULL
73,Accustaff,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
74,Ace Hardware Corporation,United States,Illinois,Oak Brook,2200 Kensington Court,60523,www.acehardware.com ,,approved,admin-krupa,admin-krupa,Ace hardware.png
75,Ace Parking Management Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
76,ACE USA,United States,Pennsylvania,Philadelphia,436 Walnut Street WA04F,19106,www.aceusa.com,,approved,admin-krupa,admin-krupa,NULL
77,Acer America Corporation,United States,California,San Jose,333 West San Carlos Street Suite 1500,95110,www.acer.com,NULL,approved,admin-krupa,admin-krupa,NULL
78,Ace Recruiters,United States,Illinois,Lincolnton ,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
79,ACG Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
80,ACH Food Companies Inc,United States,Tennessee,Memphis,7171 Goodlett Farms Pkwy,38016,www.achfood.com,9013813000,approved,admin-krupa,admin-krupa,NULL
81,Achex,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
82,Acloche,United States,Ohio,Columbus,1 Easton Oval Suite 500,43219,www.acloche.com,6144165770,approved,admin-krupa,admin-krupa,NULL
83,ACMI,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
84,ACMI Sugarloaf,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
85,ACN Inc,United States,Michigan ,Farmington Hills,32991 Hamilton Court,48334,www.acneuro.com,NULL,approved,admin-krupa,admin-krupa,NULL
86,Acropolis Systems,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
87,ACSIA Long Term Care,United States,Oregon,Medford,33 N. Central Avenue,97501,www.acsia.com,NULL,approved,admin-krupa,admin-krupa,NULL
88,Acsys Inc,United States,New Jersey,Edison,379 Thornall Street,8837,www.acsysinc.com,7322051900,approved,admin-krupa,admin-krupa,NULL
89,ACT1 Technical & Professional Services,United States,California,San Jose,255 North Market Street,95110,www.act1tech.com,NULL,approved,admin-krupa,admin-krupa,NULL
90,Activant Solutions Inc,United States,Alabama,Addison,7683 Southfront Road,94551,www.activant.com,NULL,approved,admin-krupa,admin-krupa,NULL
91,Acton Burnell,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
92,ACTS Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
93,Actuate Corporation,United States,California,South San Francisco,701 Gateway boulevard,94080,www.actuate.com,8009142259,approved,admin-krupa,admin-krupa,NULL
94,Acurian,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
95,Adams County,United States,Colorado,Sequim,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
96,Adams County School District 50,United States,Colorado,Sequim,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
97,Adams Rehmmann & Heggan Associates,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
98,Adaptec Inc,United States,California,Vestavia Hills,691 South Milpitas Boulevard,95035,www.adaptec.com,4089458600,approved,admin-krupa,admin-krupa,NULL
99,Adaytum Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
100,Adcart,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
101,ADCS Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
102,Adea Solutions Inc,United States,Texas,Irving ,7701 Las Colinas Ridge,75063,www.adeasolutions.com,NULL,approved,admin-krupa,admin-krupa,NULL
103,Adecco Employment Services,United States,New York,Melville,175 Broad Hollow Road,11747,www.adeccousa.com,6318447800,approved,admin-krupa,admin-krupa,NULL
104,Adelphia Communications,United States,Colorado,Greenwood Village,5619 DTC Parkway,80111,www.adelphia.com,3032686300,approved,admin-krupa,admin-krupa,NULL
105,Ademco Group,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
106,Adept Source,United States,California,San Diego,14365 Dalhousie Road,92129,www.adeptsource.com,NULL,approved,admin-krupa,admin-krupa,NULL
107,Adesta LLC,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
108,Adex Corporation,United States,Georgia,Alpharetta,1235 Old Alpharetta Road Suite 120,30005,https://adextelecom.com,,approved,admin-krupa,admin-krupa,NULL
109,Adexa Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
110,Adjoined Consulting,United States,Florida,Miami ,5301 Blue Lagoon Drive,33126,www.adjoined.com,NULL,approved,admin-krupa,admin-krupa,NULL
111,ADL Technology Services,United States,Florida,Fort Myers ,"8192 College Pkwy, Ste B-35",33919,www.adlstaffing.com,8662885774,approved,admin-krupa,admin-krupa,NULL
112,Adnet Account Net Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
113,Adobe Systems Incorporated,United States,California,San Jose,345 Park Avenue,95110,www.adobe.com,4085366000,approved,admin-krupa,admin-krupa,Adobe Systems Incorporated.png
114,Adolph Coors Company,United States,Alabama,Addison,12th and Ford Sts,80401,www.coors.com,3032796565,approved,admin-krupa,admin-krupa,NULL
115,Automatic Data Processing Inc,United States,New Jersey,Roseland,1 ADP Boulevard,7068,www.adp.com,NULL,approved,admin-krupa,admin-krupa,Automatic Data Processing Inc.png
116,AD Tek Engineering,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
117,ADVAL,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
119,Advanced Bionics Corporation,United States,California,Vestavia Hills,25129 Rye Canyon Loop,91355,www.bionicear.com,,approved,admin-krupa,admin-krupa,NULL
120,Advanced Data Concepts,United States,Illinois,Chicago ,819South Wabash Ave,60605,www.adccorp.com,3127860220,approved,admin-krupa,admin-krupa,NULL
121,Advanced Fibre Communications,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
122,Advanced Financial Solutions,United States,Iowa,Ankeny ,2301 W. 1st Street,50021,www.afsdirect.net,5159656829,approved,admin-krupa,admin-krupa,NULL
123,Advanced Group of Companies,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
124,Advanced Imaging Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
125,Advanced Input Devices,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
126,Advanced Management Technology,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
127,Advanced Marketing Services Inc,United States,California,San Diego,Suite 400 5880 Oberlin Drive,92121,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
128,Advanced Micro Devices Inc,United States,California,Sunnyvale,Post Office Box 3453,94088,www.amd.com,NULL,approved,admin-krupa,admin-krupa,Advanced Micro Devices Inc.png
129,Advanced Personnel Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
130,Advanced Placement Team,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
131,Advanced Receivables Strategy Inc,United States,Tennessee,Redmond,101 Cumberland Avenue,37115,www.advancedreceivables.com,NULL,approved,admin-krupa,admin-krupa,NULL
132,Advanced Resource Technologies Inc,United States,Virginia,Alexandria,1555 King Street Suite 400,22314,www.team-arti.com,7036824740,approved,admin-krupa,admin-krupa,NULL
133,Advanced Respiratory Technologies Inc,United States,New York,New York,275 Madison Avenue 4th Floor,10016,www.advancedrespiratorytech.com,2124775864,approved,admin-krupa,admin-krupa,NULL
134,Advanced Technical Resources,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
135,Advanced Technologies Integration,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
136,Advanced Technology Services,United States,Illinois,Peoria ,8201 N. University,61615,www.advancedtech.com,,approved,admin-krupa,admin-krupa,NULL
137,Advanced Telcom Group Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
138,Advanced Testing Solutions,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
139,Advancemed,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
140,Advancement Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
141,AdvancePCS Inc,United States,Arizona,Scottsdale,9501 E Shea Boulevard,85260,www.caremark.com,NULL,approved,admin-krupa,admin-krupa,NULL
142,Advantage Human Resourcing,United States,Connecticut,Stamford,1055 Washington Boulevard,6901,www.advhr.com,2039673004,approved,admin-krupa,admin-krupa,NULL
143,Advantage Payroll,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
144,Advent Networks Inc,United States,Texas,Austin ,9600 Great Hills Trail Suite 300,78759,www.adventnetworks.com ,NULL,approved,admin-krupa,admin-krupa,NULL
145,Advent Software,United States,California,San Francisco,301 Brannan Street,94107,www.advent.com,NULL,approved,admin-krupa,admin-krupa,NULL
146,Adventis,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
147,Adventist HealthCare,United States,Maryland,Rockville,1801 Research boulevard,20850,www.adventisthealthcare.com,3013153030,approved,admin-krupa,admin-krupa,NULL
148,Advisory Board Company,United States,District of Columbia,Washington,"2445 M Street, NW",20037,www.advisory.com,2022665600,approved,admin-krupa,admin-krupa,NULL
149,Aearo Company,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
150,Aegis Associates,United States,Massachusetts,Waltham,1440 Main Street ,2451,www.aegis-inc.com,7818955200,approved,admin-krupa,admin-krupa,NULL
151,Aegis Industrial Software Corporation,United States,Pennsylvania,Horsham,220 Gibraltar Road,19044,www.aiscorp.com,NULL,approved,admin-krupa,admin-krupa,NULL
152,Aegis Software Inc,United States,New York,New York,14 Penn Plaza 8th Floor,10122,www.aegisoft.com,2122683100,approved,admin-krupa,admin-krupa,NULL
153,Aegis Therapies,United States,Arkansas,Fort Smith ,1000 Beverly Way ,72919,www.aegistherapies.com,NULL,approved,admin-krupa,admin-krupa,NULL
154,AEI Music Network Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
155,Aeromet,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
156,Aeropostale,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
157,Aerosoles,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
158,Aerospan.com,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
159,Aerovironment Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
160,AETEA Information Technology Inc,United States,Maryland,Rockville,1445 Research Boulevard Suite 300,20850,www.aetea.com,NULL,approved,admin-krupa,admin-krupa,NULL
161,Aetna Inc,United States,Connecticut,Hartford,151 Farmington Avenue,6156,www.aetna.com,8602730123,approved,admin-krupa,admin-krupa,Aetna Inc.svg
162,Affiliated Computer Services Inc,United States,Texas,Dallas ,2828 North Haskell Avenue,75204,www.acs-inc.com,NULL,approved,admin-krupa,admin-krupa,NULL
163,AFLAC Inc,United States,Georgia,Columbus ,1932 Wynnton Road,31999,www.aflac.com,7063233431,approved,admin-krupa,admin-krupa,AFLAC Inc.png
164,Agency.com,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
165,Agenthr,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
166,Agere,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
167,Agfa Healthcare,United States,New Jersey,Ridgefield,100 Challenger Road,7660,www.agfa.com,2014402500,approved,admin-krupa,admin-krupa,NULL
168,Aggreko Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
169,AGI Klearfold,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
170,Agilent Technologies Inc,United States,California,Santa Clara,5301 Stevens Creek Boulevard,95051,www.Agilent.com,NULL,approved,admin-krupa,admin-krupa,Agilent Technologies Inc.png
171,Agilera,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
172,AGL Resources Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
173,Agricultural Bank of China,United States,Alabama,Addison,NULL,NULL,www.abchina.com,NULL,approved,admin-krupa,admin-krupa,NULL
174,Ahold USA,United States,Maryland,Bruceton,6300 Sheriff Road,20785,www.aholdusa.com,3013414710,approved,admin-krupa,admin-krupa,Ahold USA.png
175,Ai Architecture,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
176,AI Metrix Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
177,Aid Association for Lutherans Lutheran Brotherhood,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
178,Aide Inc,United States,South Carolina,Greenville ,530 Howell Road Suite 109,29615,www.aide.com,8009688971,approved,admin-krupa,admin-krupa,NULL
179,AIG CFO,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
180,AIG DBG AGENCY,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
181,Lawrence Berkeley National Lab,United States,California,Berkeley,1 Cyclotron Road,94720,www.lbl.gov,NULL,approved,admin-krupa,admin-krupa,NULL
182,AIG DBG CENTRAL,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
183,AIG DBG CLAIMS,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
184,AIG DBG EAST,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
185,AIG DBG SPECIALTY AUTO,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
186,AIG DBG WEST,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
187,AIG HSB,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
188,AIG LEXINGTON,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
189,AIG VALIC Financial Advisors,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
190,AIMCO Global,United States,Oregon,Portland,10000 SE Pine Street,97216,www.aimco-global.com,,approved,admin-krupa,admin-krupa,NULL
191,Air Force,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
192,Air Force Reserve,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
193,Air France Group,United States,Alabama,Addison,NULL,NULL,www.airfrance.net,NULL,approved,admin-krupa,admin-krupa,NULL
194,Air Liquide America L P,United States,Texas,Houston ,2700 Post Oak Boulevard,77056,www.us.airliquide.com,8778559533,approved,admin-krupa,admin-krupa,NULL
195,Air Products & Chemicals Inc,United States,Pennsylvania,Allentown ,7201 Hamilton Boulevard,18195,www.airproducts.com,NULL,approved,admin-krupa,admin-krupa,NULL
196,Airbiquity.com,United States,Alabama,Addison,(Formly Known As Integrated Data Com),NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
197,Airborne Inc,United States,Washington,Seattle,Post Office Box 662,98111,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
198,Aircell LLC,United States,Colorado,Louisville,1172 Century Drive,80027,www.aircell.com,3033790200,approved,admin-krupa,admin-krupa,NULL
199,Aircond,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
200,Aircuity Inc,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
201,Carbonite,United States,Massachusetts,Boston,2 Avenue de Lafayette,2111,www.carbonite.com,,approved,admin-krupa,admin-krupa,NULL
202,Airgate PCS,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
203,Airtronics Metal Products,United States,Alabama,Addison,NULL,NULL,NULL,NULL,approved,admin-krupa,admin-krupa,NULL
204,Airvana Inc,United States,Massachusetts,Chelmsford,19 Alpha Road,1824,www.airvana.com,9782503000,approved,admin-krupa,admin-krupa,NULL
205,AIT Worldwide Logistics,United States,Illinois,Itasca,"701 N. Rohlwing Road, POB 66730",60143,www.aitworldwide.com,6307660711,approved,admin-krupa,admin-krupa,NULL
